interaction_id,interaction_date,rep_id,hcp_npi,account_id,territory,product_name,channel,detail_topic,call_outcome,duration_min,sample_qty,consent_status
CRM0000001,2024-11-26,REP002,9000000203,ACC001,T02,Nexoral,Sample Drop,Competitive differentiation,Neutral,15,0,Allowed
CRM0000002,2024-10-15,REP002,9000000203,ACC001,T02,Nexoral,Remote,Prior authorization support,Follow-up,30,0,Allowed
CRM0000003,2024-10-27,REP002,9000000433,ACC001,T02,Nexoral,Sample Drop,Clinical data - efficacy,No Reach,10,0,Allowed
CRM0000004,2024-09-09,REP002,9000000433,ACC001,T02,Roventra,Remote,Adherence program enrollment,Positive,10,0,Opt-out
CRM0000005,2025-01-26,REP002,9000000433,ACC001,T02,Nexoral,Face to Face,Clinical data - REMS requirements,No Reach,30,0,Allowed
CRM0000006,2024-07-21,REP002,9000000455,ACC001,T02,Roventra,Remote,Patient identification,No Reach,30,0,Allowed
CRM0000007,2024-04-27,REP002,9000000455,ACC001,T02,Roventra,Remote,Competitive differentiation,Positive,15,0,Allowed
CRM0000008,2024-02-02,REP002,9000000455,ACC001,T02,Nexoral,Sample Drop,Clinical data - efficacy,Neutral,15,1,Allowed
CRM0000009,2024-10-19,REP002,9000000455,ACC001,T02,Nexoral,Phone,Adherence program enrollment,Positive,5,0,Opt-out
CRM0000010,2024-06-05,REP002,9000000455,ACC001,T02,Vexpro,Sample Drop,Referral workflow and SP onboarding,No Reach,20,0,Allowed
CRM0000011,2024-01-28,REP002,9000000455,ACC001,T02,Nexoral,Phone,Adherence program enrollment,Abandoned,15,0,Allowed
CRM0000012,2024-08-08,REP002,9000000455,ACC001,T02,Vexpro,Sample Drop,Adherence program enrollment,Follow-up,15,0,Opt-out
CRM0000013,2024-06-12,REP002,9000000455,ACC001,T02,Roventra,Sample Drop,Referral workflow and SP onboarding,Neutral,15,0,Allowed
CRM0000014,2024-03-14,REP003,9000000305,ACC002,T03,Vexpro,Face to Face,Coverage and reimbursement,Neutral,30,0,Allowed
CRM0000015,2024-09-06,REP003,9000000305,ACC002,T03,Nexoral,Remote,Referral workflow and SP onboarding,Abandoned,15,0,Opt-out
CRM0000016,2024-10-14,REP003,9000000305,ACC002,T03,Nexoral,Sample Drop,Adherence program enrollment,Positive,45,0,Opt-out
CRM0000017,2024-08-14,REP003,9000000305,ACC002,T03,Roventra,Remote,Adherence program enrollment,Follow-up,30,0,Allowed
CRM0000018,2025-01-05,REP003,9000000305,ACC002,T03,Nexoral,Face to Face,Safety and tolerability,Follow-up,5,0,Opt-out
CRM0000019,2024-11-19,REP003,9000000305,ACC002,T03,Roventra,Face to Face,Competitive differentiation,Positive,5,0,Opt-out
CRM0000020,2024-08-08,REP003,9000000305,ACC002,T03,Vexpro,Phone,Competitive differentiation,Neutral,10,0,Opt-out
CRM0000021,2024-03-27,REP003,9000000424,ACC002,T03,Roventra,Sample Drop,Coverage and reimbursement,No Reach,45,0,Opt-out
CRM0000022,2024-04-26,REP003,9000000424,ACC002,T03,Roventra,Face to Face,Referral workflow and SP onboarding,No Reach,20,0,Opt-out
CRM0000023,2024-10-18,REP003,9000000424,ACC002,T03,Roventra,Phone,Patient identification,No Reach,30,0,Opt-out
CRM0000024,2024-01-26,REP003,9000000424,ACC002,T03,Roventra,Phone,Dose and administration,Positive,10,0,Allowed
CRM0000025,2024-11-21,REP003,9000000424,ACC002,T03,Nexoral,Phone,Safety and tolerability,No Reach,45,0,Opt-out
CRM0000026,2024-03-28,REP003,9000000424,ACC002,T03,Roventra,Remote,Clinical data - REMS requirements,Follow-up,45,0,Opt-out
CRM0000027,2024-09-28,REP003,9000000424,ACC002,T03,Vexpro,Remote,Coverage and reimbursement,Positive,10,0,Allowed
CRM0000028,2025-01-26,REP003,9000000560,ACC002,T03,Roventra,Sample Drop,Coverage and reimbursement,Follow-up,45,0,Allowed
CRM0000029,2024-10-11,REP003,9000000560,ACC002,T03,Nexoral,Phone,Patient identification,Abandoned,10,0,Allowed
CRM0000030,2024-11-03,REP003,9000000560,ACC002,T03,Roventra,Sample Drop,Competitive differentiation,No Reach,20,0,Allowed
CRM0000031,2024-03-15,REP003,9000000560,ACC002,T03,Nexoral,Face to Face,Competitive differentiation,Follow-up,5,0,Allowed
CRM0000032,2024-06-13,REP003,9000000610,ACC002,T03,Vexpro,Face to Face,Patient identification,Neutral,30,0,Allowed
CRM0000033,2024-07-31,REP003,9000000610,ACC002,T03,Vexpro,Face to Face,Competitive differentiation,Positive,15,0,Opt-out
CRM0000034,2024-10-12,REP003,9000000610,ACC002,T03,Nexoral,Face to Face,Safety and tolerability,Positive,30,0,Allowed
CRM0000035,2025-01-28,REP003,9000000610,ACC002,T03,Nexoral,Remote,Patient identification,Neutral,30,0,Allowed
