channel,method_family,metric,population,window,intervention,spend_level_or_exposure,comparable_to_mmm,allowed_use,source,summary
field,Attribution,conversion credit share,converting paths across all ten channels,Jan 2024 to Mar 2025 path history,observed field touches on recorded paths,"path occurrence, not spend calibrated",partial,sanity check only,ch08_omnichannel/assets/generated_outputs/markov_attribution.csv,17.3% conversion credit
email,Attribution,conversion credit share,converting paths across all ten channels,Jan 2024 to Mar 2025 path history,observed email touches on recorded paths,"path occurrence, not spend calibrated",partial,sanity check only,ch08_omnichannel/assets/generated_outputs/markov_attribution.csv,17.0% conversion credit
digital,Attribution,conversion credit share,"authenticated web paths, used here as a digital proxy",Jan 2024 to Mar 2025 path history,observed web touches on recorded paths,"path occurrence, not spend calibrated",partial,proxy sanity check only,ch08_omnichannel/assets/generated_outputs/markov_attribution.csv,12.1% conversion credit (web proxy)
paid_media,Attribution,conversion credit share,converting paths across all ten channels,Jan 2024 to Mar 2025 path history,observed paid-media touches on recorded paths,"path occurrence, not spend calibrated",partial,sanity check only,ch08_omnichannel/assets/generated_outputs/markov_attribution.csv,6.4% conversion credit
field,Randomized experiment,incremental patient starts vs. control,treated and control accounts in one account cycle,one account-cycle experiment,coordinated field and digital action,"tested action bundle, not a full response curve",partial,fallback calibration or scope check,ch10_experiments/assets/generated_outputs/adjusted_itt.csv,+27.2% relative lift
field,Geo-holdout,incremental weekly NRx,18 geos in the synthetic holdout,tested spend segment at the planning cadence,field call increase in the holdout geos,2.00 calls plus 2.50 incremental calls,yes,calibrate prior,ch13_mmm/scripts/data.py generate_field_geo_holdout(),69.28 incremental weekly NRx
portfolio_baseline,Natural experiment,brand-share lift from the formulary event,treated vs. control geographies around the access change,event window from the natural-experiment chapter,formulary access win,not a channel spend measure,no,baseline control only,ch11_natural_experiments/assets/generated_outputs/did.csv and its_summary.csv,DiD 0.0614; ITS 0.1004
field,MMM,average weekly NRx contribution,national weekly portfolio time series,104-week planning series,all observed spend over the full period,full weekly response curve,yes,portfolio allocation,ch13_mmm/scripts/model.py fit_bayesian_mmm(),portfolio contribution estimate
email,MMM,average weekly NRx contribution,national weekly portfolio time series,104-week planning series,all observed spend over the full period,full weekly response curve,yes,portfolio allocation,ch13_mmm/scripts/model.py fit_bayesian_mmm(),portfolio contribution estimate
digital,MMM,average weekly NRx contribution,national weekly portfolio time series,104-week planning series,all observed spend over the full period,full weekly response curve,yes,portfolio allocation,ch13_mmm/scripts/model.py fit_bayesian_mmm(),portfolio contribution estimate
paid_media,MMM,average weekly NRx contribution,national weekly portfolio time series,104-week planning series,all observed spend over the full period,full weekly response curve,yes,portfolio allocation,ch13_mmm/scripts/model.py fit_bayesian_mmm(),portfolio contribution estimate
